Product or Part number,Vrwm (V),PDF datasheet,HTML datasheet,Number of channels,Bi-/uni-directional,Package name,Peak pulse power (8/20 μs) (max) (W),IO capacitance (typ) (pF),IEC 61000-4-2 contact (k±V),IEC 61000-4-5 (A),Clamping voltage (V),Price|Quantity (USD),Pin count,Status
TPD4E6B06,5.5,PDF datasheet,HTML datasheet,4.0,Bi-directional,DFN0603,40.0,4.8,15000.0,3.0,10.0,0.068,4.0,ACTIVE
TPD4E110,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,DFN0603,35.0,0.45,12000.0,2.5,10.0,0.105,4.0,ACTIVE
TPD2E1B06,5.5,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-5X3,35.0,1.0,10000.0,2.5,11.0,0.122,6.0,ACTIVE
TPD6E05U06,5.5,PDF datasheet,HTML datasheet,6.0,Uni-Directional,UQFN,40.0,0.5,12000.0,2.5,10.0,0.304,14.0,ACTIVE
TPD2E2U06,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,"SC70-3,SOT-5X3",85.0,1.5,25000.0,5.5,9.7,0.07,"3,5",ACTIVE
TPD4E001-Q1,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,SOT-23-6,100.0,1.5,8000.0,5.5,16.0,0.18,6.0,ACTIVE
TPD4E05U06,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,DFN2510,40.0,0.5,12000.0,2.5,10.0,0.101,10.0,ACTIVE
TPD1E05U06,5.5,PDF datasheet,HTML datasheet,1.0,Uni-Directional,"DFN1006,SOD523",40.0,0.5,12000.0,2.5,10.0,0.039,2.0,ACTIVE
TPD4E1B06,5.5,PDF datasheet,HTML datasheet,4.0,Bi-directional,"SC70-6,SOT-5X3",45.0,0.7,12000.0,3.0,10.9,0.137,6.0,ACTIVE
TPD4E1U06,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,"SC70-6,SOT-23",45.0,0.8,15000.0,3.0,13.0,0.13,6.0,ACTIVE
TPD5E003,5.5,PDF datasheet,HTML datasheet,5.0,Uni-Directional,,40.0,9.0,15000.0,3.0,13.0,0.162,6.0,ACTIVE
TPD1E6B06,5.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN0603,50.0,6.0,15000.0,3.8,10.0,0.023,2.0,ACTIVE
TPD4E101,5.5,PDF datasheet,HTML datasheet,4.0,Bi-directional,DFN0603,40.0,4.8,15000.0,3.0,13.0,0.113,4.0,ACTIVE
TPD1E10B06,5.5,PDF datasheet,HTML datasheet,1.0,Bi-directional,"DFN1006,SOD523",90.0,12.0,30000.0,6.0,10.0,0.033,2.0,ACTIVE
TPD1E10B09,9.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,90.0,10.0,20000.0,4.5,13.0,0.078,2.0,ACTIVE
TPD2EUSB30A,3.6,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-9X3,45.0,0.7,8000.0,5.0,8.0,0.152,3.0,ACTIVE
TPD4EUSB30,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,USON,45.0,0.8,8000.0,5.0,8.0,0.258,10.0,ACTIVE
TPD2EUSB30,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-9X3,45.0,0.7,8000.0,5.0,8.0,0.167,3.0,ACTIVE
TPD2E001-Q1,5.5,PDF datasheet,-,2.0,Uni-Directional,SOT-5X3,100.0,1.5,8000.0,,16.0,0.194,5.0,ACTIVE
TPD2S017,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-6,,1.0,11000.0,6.0,14.0,0.148,6.0,ACTIVE
TPD2E009,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,"SOT-23-3,SOT-9X3",45.0,0.7,8000.0,5.0,8.0,0.109,3.0,ACTIVE
TPD2E007,13.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,"LGA (PicoStar),SC70-3",0.27,10.0,8000.0,4.5,20.0,0.294,"3,4",ACTIVE
TPD4S010,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,DFN2510,25.0,0.8,8000.0,2.5,20.0,0.266,10.0,ACTIVE
TPD4S012,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,DFN2510,60.0,0.8,10000.0,3.0,8.0,0.159,6.0,ACTIVE
TPD8S009,5.5,PDF datasheet,HTML datasheet,8.0,Uni-Directional,WSON,25.0,0.8,8000.0,2.5,20.0,0.888,15.0,ACTIVE
TPD4S009,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,"SC70-6,SOT-23-6,USON,VSSOP",25.0,0.8,8000.0,2.5,20.0,0.099,"6,10",ACTIVE
TPD2E001,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,"SOT-23,SOT-5X3,USON,WSON",100.0,1.5,8000.0,,16.0,0.121,"4,5,6",ACTIVE
TPD3E001,5.5,PDF datasheet,HTML datasheet,3.0,Uni-Directional,"SOT-5X3,USON,WSON",100.0,1.5,8000.0,5.5,25.0,0.155,"5,6",ACTIVE
TPD4E002,5.0,PDF datasheet,HTML datasheet,4.0,Uni-Directional,SOT-5X3,25.0,11.0,15000.0,2.5,30.0,0.092,5.0,ACTIVE
TPD4E001,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,"SC70-6,SOT-23-6,SOT-5X3,USON,WSON",100.0,1.5,8000.0,5.5,25.0,0.082,6.0,ACTIVE
TPD6E001,5.5,PDF datasheet,HTML datasheet,6.0,Uni-Directional,"UQFN,WQFN",100.0,1.5,8000.0,,15.0,0.175,"10,12",ACTIVE
UC1611-SP,,PDF datasheet,-,,,"CDIP,LCCC",,,,,,204.517,"8,20",ACTIVE
